recipe_name,calorie_count,image,link,lat,long,type
Hash Browns For One,320,"https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_1200/https://onedishkitchen.com/wp-content/uploads/2019/11/hash-browns-one-dish-kitchen-1c.jpg",https://onedishkitchen.com/hash-browns-recipe/,37.0902,-95.7129,breakfast
Strawberry Scones – A Small Batch Recipe,420,"https://cdn.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_696/https://onedishkitchen.com/wp-content/uploads/2017/07/small-batch-strawberry-white-chocolate-scones-one-dish-kitchen-1.jpg",https://onedishkitchen.com/small-batch-strawberry-white-chocolate-scones/,41.8719,12.5674,breakfast
"
Blueberry Muffin For One",250,"https://cdn.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_696/https://onedishkitchen.com/wp-content/uploads/2019/06/blueberry-muffin-recipe-one-dish-kitchen-1.jpg",https://onedishkitchen.com/blueberry-muffin-recipe-for-one/,41.8719,12.5674,breakfast
Easy French Toast Recipe For One,150,"https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_1200/https://onedishkitchen.com/wp-content/uploads/2019/08/french-toast-one-dish-kitchen-1200.jpg",https://onedishkitchen.com/french-toast-recipe-for-one/,48.8566,2.3522,breakfast
Baked Oatmeal With Fruit For One,300,"https://cdn.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_696/https://onedishkitchen.com/wp-content/uploads/2019/04/baked-oatmeal-one-dish-kitchen.jpg",https://onedishkitchen.com/baked-oatmeal-recipe-for-one/,37.0902,-95.7129,breakfast
Waffle Recipe For One,250,"https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_1200/https://onedishkitchen.com/wp-content/uploads/2019/08/waffle-one-dish-kitchen-1200-1.jpg",https://onedishkitchen.com/waffle-recipe-for-one/,41.8719,12.5674,breakfast
Breakfast Bread Pudding,450,"https://cdn.shortpixel.ai/client/to_webp,q_glossy,ret_img,w_696/https://onedishkitchen.com/wp-content/uploads/2016/10/croissant-breakfast-bread-pudding-for-one-zagleft-1a.jpg",https://onedishkitchen.com/croissant-breakfast-bread-pudding-for-one/,41.8719,12.5674,breakfast
Fluffy Pancake Recipe For One,170,"https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_1200/https://onedishkitchen.com/wp-content/uploads/2019/08/pancakes-one-dish-kitchen-1200.jpg",https://onedishkitchen.com/how-to-make-pancakes-for-one/,41.8719,12.5674,breakfast
Summer Minestrone,185,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/summer-minestrone-ghk-1532637318.jpg?crop=1xw:1xh;center,top&resize=980:*",https://www.goodhousekeeping.com/food-recipes/easy/a22566145/summer-minestrone-recipe/,37.0902,-95.7129,lunch
"Chicken Tetrazzini (Casserole, Classic Italian Recipe)",458,https://www.apinchofhealthy.com/wp-content/uploads/2018/02/chicken-tetrazzini-closeup.jpg,https://www.apinchofhealthy.com/chicken-tetrazzini/,41.8719,12.5674,lunch
Ratatouille,200,http://images.media-allrecipes.com/userphotos/960x960/5419901.jpg,http://www.eatingwell.com/recipe/265061/french-ratatouille/,46.2276,2.2137,lunch
Restaurant Style Beef and Broccoli,331,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3215676.jpg&w=596&h=792.6800000000001&c=sc&poi=face&q=85,https://www.allrecipes.com/recipe/191156/restaurant-style-beef-and-broccoli/?internalSource=streams&referringId=695&referringContentType=Recipe%20Hub&clickId=st_recipes_mades#nutrition,35.8617,104.1954,lunch
Chicken Yakisoba,503,https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3215083.jpg&w=596&h=792.6800000000001&c=sc&poi=face&q=85,https://www.allrecipes.com/recipe/230764/chicken-yakisoba/?internalSource=hub%20recipe&referringContentType=Search#nutrition,36.2048,138.2529,lunch
The Best Thai Coconut Soup,368,https://images.media-allrecipes.com/userphotos/720x405/2319909.jpg,https://www.allrecipes.com/recipe/146035/the-best-thai-coconut-soup/?internalSource=streams&referringId=702&referringContentType=Recipe%20Hub&clickId=st_trending_s,15.87,100.9925,lunch
Bibimbap (Korean Rice With Mixed Vegetables),,https://images.media-allrecipes.com/userphotos/720x405/3961066.jpg,https://www.allrecipes.com/recipe/228240/bibimbap-korean-rice-with-mixed-vegetables/?clickId=right%20rail1&internalSource=rr_feed_recipe_sb&referringId=146035%20referringContentType%3Drecipe,35.9078,127.7669,lunch
Persian Chicken with Turmeric and Lime,540,https://assets.epicurious.com/photos/59246103f0fad567624a162c/6:4/w_620%2Ch_413/Persian-Chicken-and-Rice-18052017.jpg,https://www.epicurious.com/recipes/food/views/persian-chicken-with-turmeric-and-lime,31.7917,-7.0926,dinner
Crunchy Baked Saffron Rice with Barberries (Tachin),455,https://assets.epicurious.com/photos/5a5fc859a770951bdbeb5123/6:4/w_620%2Ch_413/crunchy-baked-saffron-rice-with-barberries-recipe-BA-011718.jpg,https://www.epicurious.com/recipes/food/views/spicy-lamb-pizza-with-parsleyred-onion-salad,31.7917,-7.0926,dinner
Spicy Lamb Pizza With Parsley–Red Onion Salad,700,https://assets.epicurious.com/photos/57ab9c1934bdab443b9af0d9/6:4/w_620%2Ch_413/lamb-pizza-ba-081016.jpg,https://www.epicurious.com/recipes/food/views/deep-fried-beef-and-millet-meatballs-with-tahini-sauce,41.8719,12.5674,dinner
Fried Meatballs with Tahini Sauce,300,https://assets.epicurious.com/photos/5ad78638606edf380124bb16/6:4/w_620%2Ch_413/meatballs-with-coriander-and-tahini-sauce-recipe-BA-041818.jpg,https://www.epicurious.com/recipes/food/views/deep-fried-beef-and-millet-meatballs-with-tahini-sauce,41.8719,12.5674,dinner
Charred Sweet Potatoes with Toum,230,https://assets.epicurious.com/photos/5a5fc857ce609a29c6470e4b/6:4/w_620%2Ch_413/charred-sweet-potatoes-with-toum-recipe-BA-011718.jpg,https://www.epicurious.com/recipes/food/views/charred-sweet-potatoes-with-toum,37.0902,-95.7129,dinner
Pomegranate-Glazed Chicken with Buttery Pine Nuts,230,https://assets.epicurious.com/photos/5a5fc85b53fa7a308b9c79fd/6:4/w_620%2Ch_413/pomegranate-glazed-chicken-with-buttery-pine-nuts-recipe-BA-011718.jpg,https://www.epicurious.com/recipes/food/views/pomegranate-glazed-chicken-with-buttery-pine-nuts,37.0902,-95.7129,dinner